,word,lemma1,lemma2,Sd15_Cosine,Sd15_CosRev0Score,Glo_Cosine,Glowca_CosRev0Score,location,episode,time,salience_1,salience_2,salience_3,salience_4,salience_13
25,treats,treat,walk,0.521627300231662,0.478372699768338,0.444911044894725,0.555088955105275,Cartoon World,1,26,0,0,0,0,0
26,walking,walk,stage,0.755057993552392,0.244942006447608,0.497860980124061,0.502139019875939,Cartoon World,1,27,0,0,0,0,0
27,stage,stage,picture,0.899845776493022,0.100154223506978,0.483667253183609,0.516332746816391,Cartoon World,1,28,0,0,0,0,0
28,family,family,eat,0.536308578328219,0.463691421671781,0.462229438133888,0.537770561866112,Cartoon World,1,29,0,0,0,0,1
29,eating,eat,movie,0.399559195533361,0.600440804466639,0.306899236202524,0.693100763797476,Cartoon World,1,30,0,0,0,0,0
30,ended,end,picture,0.282923941717384,0.717076058282616,0.586567409105365,0.413432590894635,Cartoon World,1,31,0,0,0,0,0
31,slogan,slogan,let,0.648428979717691,0.351571020282309,0.233276646932612,0.766723353067388,Cartoon World,1,32,0,0,0,0,0
32,lets,let,lobby,0.714183659927324,0.285816340072676,0.329176373472705,0.670823626527295,Cartoon World,1,33,0,0,0,0,0
33,war,war,scene,0.33797528178802,0.66202471821198,0.477155845929856,0.522844154070144,Afghanistan,2,34,0,0,0,0,1
34,scene,scene,we,0.870568925344413,0.129431074655587,0.550846204013953,0.449153795986047,Afghanistan,2,35,0,0,0,0,0
35,we,we,soldier,0.891795817892117,0.108204182107883,0.371958903516829,0.628041096483171,Afghanistan,2,36,0,0,0,0,0
36,soldiers,soldier,green,0.701204533076498,0.298795466923502,0.223304135606985,0.776695864393015,Afghanistan,2,37,0,0,0,0,1
37,green,green,army,0.729419762761877,0.270580237238123,0.330509009821779,0.669490990178221,Afghanistan,2,38,0,0,0,0,0
38,army,army,green,0.729419762761877,0.270580237238123,0.330509009821779,0.669490990178221,Afghanistan,2,39,0,0,0,0,1
39,shooting,shoot,loud,0.57403642339956,0.42596357660044,0.298602171421757,0.701397828578243,Afghanistan,2,40,0,0,0,0,1
40,loud,loud,noise,0.961964220176243,0.0380357798237569,0.664312381228516,0.335687618771484,Afghanistan,2,41,0,0,0,0,1
41,noises,noise,last,0.399991666147426,0.600008333852574,0.320762634519681,0.679237365480319,Afghanistan,2,42,0,0,0,0,1
42,lasted,last,fifteen,0.882846854208299,0.117153145791701,0.578143128431162,0.421856871568838,Afghanistan,2,43,0,0,0,0,0
43,fifteen,fifteen,twenty,0.950496077272943,0.0495039227270574,0.919201807972728,0.080798192027272,Afghanistan,2,44,0,0,0,0,0
44,twenty,twenty,second,0.815659836231651,0.184340163768349,0.668777390205832,0.331222609794168,Afghanistan,2,45,0,0,0,0,0
45,seconds,second,john,0.773311479956129,0.226688520043871,0.53335448647616,0.46664551352384,Afghanistan,2,46,0,0,0,0,0
46,opens,open,john,0.823053578584189,0.176946421415811,0.422607367720931,0.577392632279069,John's Room,2,48,0,0,0,0,0
47,dream,dream,his,0.565984682896532,0.434015317103468,0.52998763299842,0.47001236700158,John's Room,2,49,1,0,0,0,0
